name,wiki_url,constituency,exclude,party,brex_cat,brex_cat_lab,brex_cat_source,brex_cat_notes,brex_cat_link,delay_bill,may_bill,benn_bill,nodeal_bill
James Cleverly,https://en.wikipedia.org/wiki/James_Cleverly,Braintree,0,Conservative,4,Deal/No deal,"The Prime Minister and her Cabinet have come up with a workable plan and I intend to support them in delivering it.; James Cleverly: No deal Brexit 'not massively damaging'. James Cleverly, who has launched a bid to become the next Conservative leader, has said that a no deal Brexit would not be massively damaging, but it is not his ""preferred option"". The Brexit minister told Today that the UK needs to leave the EU on time, and the public is fed up of delays.; Brexit: EU needs to be 'flexible' says James Cleverly- James Cleverly insisted the British Government acted pragmatically for over 18 months to ensure a Brexit deal could be achieved before the withdrawal deadline. The Conservative MP demanded the European Union respond in kind to the ""flexibility"" the UK showed as he warned the country is ready to quit the bloc without a formal arrangement on October 31. Speaking to the Today programme, Mr Cleverly said: ""The way negotiations work is that both parties need to be flexible and the UK has, over the last 18 months or so, been pragmatic and has been flexible. ""What we need to see now is the EU being flexible - if they can be pragmatic and flexible we can get a deal done and leave with a deal on October 31. ""But we’re going to leave on October 31 whatever.""","Prefers leaving with a deal, but no deal still a potential option.",https://brexitcentral.com/brexiteers-accept-compromises-heres-chequers-proposal-workable-plan/; https://www.bbc.co.uk/news/av/uk-politics-48445024/james-cleverly-no-deal-brexit-not-massively-damaging; https://www.express.co.uk/news/uk/1185296/Brexit-news-BBC-today-James-Cleverly-EU-UK-deal-Boris-Johnson-Irish-backstop-latest,1,1,0,NA
Brandon Lewis,https://en.wikipedia.org/wiki/Brandon_Lewis,Great Yarmouth,0,Conservative,4,Deal/No deal,"The Prime Minister has listened to the concerns of MPs in Parliament and made the decision to delay the vote on the Brexit Deal until mid-January so that she can have further discussions with her European counterparts and seek reassurances on the backstop. Those who disagree with that approach should remember the risk of other alternatives. : A second referendum to overturn the result of the first risks dividing the country again, when we should be striving to bring it back together.; “But it’s definitely a good deal and I hope they will come round and importantly we will deliver on what we said and we will leave the EU on October 31.” Garraway pressed on how exactly Johnson plans to do that if they don’t get a deal, considering it is currently illegal to leave on that day without a plan in place adding how “something has to give”.  Lewis confidently replied: “If the deal isn’t agreed we will leave on October 31 as planned - legally.","Prefers deal, but won't rule out leaving without a deal",https://www.express.co.uk/showbiz/tv-radio/1186295/Brexit-news-Brandon-Lewis-Boris-Johnson-deal-Kate-Garraway-ITV-GMB-video,NA,1,0,NA
Claire Perry,https://en.wikipedia.org/wiki/Claire_Perry,Devizes,0,Conservative,4,Deal/No deal,"Without a deal, the Government's own analysis shows that GDP could be lower compared to current trading arrangements over the next 15 years and I have always maintained that No Deal would be damaging to our national and local economy.  That said, I have also been clear that I will not engage in any Parliamentary manoeuvres to try and block No Deal, as I think this dilutes our negotiating efforts and also risks not being able to deliver Brexit at all.","Seeks brexit deal. No deal left as an option, but only to be used as negotitation tool to obtain a deal.",https://www.claireperry.org.uk/news/andover-advertiser-no-deal-would-be-damaging,1,1,0,NA
Chris Philp,https://en.wikipedia.org/wiki/Chris_Philp,Croydon South,0,Conservative,4,Deal/No deal,"""But, if we did end up in a no deal scenario, that, clearly, wouldn't be good for the UK. Although we would obviously deal with it. But, it's not good for the European Union either.""","did abstain in vote to block no-deal, never voted for no deal but also never explictly ruled it out.",https://www.aol.co.uk/news/2017/10/13/brexit-no-deal-not-good-for-uk-says-member-of-the-government/,1,1,0,NA
Peter Heaton-Jones,https://en.wikipedia.org/wiki/Peter_Heaton-Jones,North Devon,0,Conservative,4,Deal/No deal,"""It respects the result of the referendum and delivers on the commitment I made to the voters of North Devon when they elected me in 2017. It gets Brexit done. ""I believe it is incumbent on MPs from all parties to support this deal. Indeed, it is their duty to do so. Opposing it, or attaching an amendment whose true motive is to thwart Brexit - a second referendum, for instance - will just cause more delay, division and damage.; Voted against bill to prevent no deal",NA,https://web.archive.org/web/20210517040357/https://www.northdevongazette.co.uk/news/peter-heaton-jones-will-back-boris-johnsons-brexit-deal-6052090/; https://www.theguardian.com/politics/ng-interactive/2019/sep/04/did-your-mp-vote-for-the-bill-to-stop-a-no-deal-brexit,1,1,0,NA
Graham Brady,https://en.wikipedia.org/wiki/Graham_Brady,Altrincham and Sale West,0,Conservative,4,Deal/No deal,"""Those who have pressed for delay or for No Deal to be taken off the table have weakened Theresa May's hand and made a deal less likely, but I still believe a compromise is fundamentally in our interest and that of the EU.",NA,NA,0,0,0,0
James Heappey,https://en.wikipedia.org/wiki/James_Heappey,Wells,0,Conservative,4,Deal/No deal,"“I’ve decided that I will be voting to keep No Deal on the table and I’ll vote against an extension to Article 50. I’m very alive to the risks that brings and I’ve thought long and hard about that decision.” “However the result of the referendum is what it is and the manifesto I stood on in 2017 clearly said that ‘no deal was better than a bad deal.’ More recently, I’ve passed laws in Parliament that have made No Deal the default if we are unable to agree on a deal. I think it would be inconsistent, perhaps even dishonest, if I were to now abandon that position.”",Clearly prefers deal to no deal.,https://www.burnham-on-sea.com/news/burnhams-mp-parliament-is-in-grave-danger-of-losing-touch-with-the-people/,NA,1,0,NA
John Baron,https://en.wikipedia.org/wiki/John_Baron_(politician),Basildon and Billericay,0,Conservative,4,Deal/No deal,"“Many of us prefer a good deal to no deal, but I suggest that WTO rules are not the so-called disaster that everyone is suggesting. We trade profitably with the rest of the world outside the EU on largely WTO, no deal terms. What people can forget is that investment is about comparative advantage. If proof were needed, we have only to look at how well the country is doing economically in the face of so-called concern that we could be leaving the EU on no-deal terms.”",Actually quite positive about no deal but claims he prefers a deal.,https://pressreleases.johnbaron.co.uk/archives/3596,0,0,0,1
Douglas Ross,https://en.wikipedia.org/wiki/Douglas_Ross_(Scottish_politician),Moray,0,Conservative,4,Deal/No deal,"“My decision to vote against removing No Deal as an option was because I believed it would weaken our negotiating position with the EU in these final, crucial days, when most EU deals are agreed and delivered.",NA,https://www.grampianonline.co.uk/news/moray-mp-votes-for-no-deal-scenario-175756/,NA,0,0,NA
Nick Hurd,https://en.wikipedia.org/wiki/Nick_Hurd,"Ruislip, Northwood and Pinner",0,Conservative,4,Deal/No deal,"Because obviously there was a tension between the negotiating stance and the instinct that if the EU didn’t believe that actually we would go ahead with no deal, then that would affect negotiations. Whereas we knew that no deal was very bad news for Northern Ireland and we were obviously keen to be part of the advocacy to try and avoid that.",NA,https://www.instituteforgovernment.org.uk/ministers-reflect/person/nick-hurd/,1,1,0,0
